"","Assemblage","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL"
"1","Bois-de-Saraguay",3.99995245692989,"Rarefaction",0,0.781591539897679,13.0634165983014,8.15109418831951,17.9757390082833
"2","Bois-de-Saraguay",3.99995245692989,"Rarefaction",1,0.781591539897679,11.6521860353469,8.8324357033348,14.4719363673591
"3","Bois-de-Saraguay",3.99995245692989,"Rarefaction",2,0.781591539897679,10.5188009076277,8.52233534830763,12.5152664669478
"4","Angrignon",5.43620378612277,"Rarefaction",0,0.782801181753826,21.2610370398581,16.6469371507945,25.8751369289216
"5","Angrignon",5.43620378612277,"Rarefaction",1,0.782801181753826,17.6168621425846,14.3166292826266,20.9170950025427
"6","Angrignon",5.43620378612277,"Rarefaction",2,0.782801181753826,14.7787010745058,12.2538254966195,17.3035766523921
"7","Boisé-de-Saint-Sulpice",3.44112616008101,"Rarefaction",0,0.782799570085885,12.931642232193,10.3788670140529,15.4844174503332
"8","Boisé-de-Saint-Sulpice",3.44112616008101,"Rarefaction",1,0.782799570085885,11.5900872210925,9.45158453133458,13.7285899108504
"9","Boisé-de-Saint-Sulpice",3.44112616008101,"Rarefaction",2,0.782799570085885,10.4942548681718,8.64156987195595,12.3469398643877
"10","Pointe-aux-Prairies",6.6423002582398,"Rarefaction",0,0.782800318148996,29.711400549272,21.5639584967923,37.8588426017516
"11","Pointe-aux-Prairies",6.6423002582398,"Rarefaction",1,0.782800318148996,24.2580448037369,18.7257881085532,29.7903014989206
"12","Pointe-aux-Prairies",6.6423002582398,"Rarefaction",2,0.782800318148996,19.7125547426887,15.7254178031852,23.6996916821922
"13","Thomas-Chapais",3.86920663682917,"Rarefaction",0,0.782799768433621,11.4435922435155,0.176665503819054,22.710518983212
"14","Thomas-Chapais",3.86920663682917,"Rarefaction",1,0.782799768433621,9.89344258170026,4.27313722704559,15.5137479363549
"15","Thomas-Chapais",3.86920663682917,"Rarefaction",2,0.782799768433621,8.77262360190748,5.68648704245576,11.8587601613592
"16","Bois-de-Liesse",7.53197015671697,"Rarefaction",0,0.764705882352941,19.9906235597023,7.40932258812068,32.5719245312839
"17","Bois-de-Liesse",7.53197015671697,"Rarefaction",1,0.764705882352941,15.0662071418915,9.07258889008683,21.0598253936963
"18","Bois-de-Liesse",7.53197015671697,"Rarefaction",2,0.764705882352941,11.6620934865642,8.28014766292596,15.0440393102025
"19","Cap-Saint-Jacques",4.57111997916018,"Rarefaction",0,0.782800649728786,14.1927534938399,6.30244821748132,22.0830587701984
"20","Cap-Saint-Jacques",4.57111997916018,"Rarefaction",1,0.782800649728786,12.1925296166756,8.06426652383688,16.3207927095144
"21","Cap-Saint-Jacques",4.57111997916018,"Rarefaction",2,0.782800649728786,10.6450579894875,8.12161167516617,13.1685043038087
"22","Coulée-Grou",6.40885291914376,"Rarefaction",0,0.829787234042553,22.1555041702054,16.5680866299082,27.7429217105025
"23","Coulée-Grou",6.40885291914376,"Rarefaction",1,0.829787234042553,19.6502385976287,15.7783734369039,23.5221037583534
"24","Coulée-Grou",6.40885291914376,"Rarefaction",2,0.829787234042553,17.2193498311654,14.3087369634529,20.1299626988779
"25","Île-Bizard",4.07918231765115,"Rarefaction",0,0.782799618856128,16.6300852361412,13.3888157973486,19.8713546749337
"26","Île-Bizard",4.07918231765115,"Rarefaction",1,0.782799618856128,14.5315181558803,12.042093515924,17.0209427958365
"27","Île-Bizard",4.07918231765115,"Rarefaction",2,0.782799618856128,12.8315789902959,10.8251699361913,14.8379880444004
"28","Jean-Drapeau",3.04850300156866,"Rarefaction",0,0.782800114345473,18.2688323538432,14.0974102898163,22.4402544178702
"29","Jean-Drapeau",3.04850300156866,"Rarefaction",1,0.782800114345473,16.2164012097697,13.0176218351265,19.4151805844129
"30","Jean-Drapeau",3.04850300156866,"Rarefaction",2,0.782800114345473,14.6498982228298,12.0571505114931,17.2426459341666
"31","L'Anse-à-l'Orme",5.68112212567535,"Rarefaction",0,0.782800126773129,18.6255461468785,1.32495761870886,35.9261346750482
"32","L'Anse-à-l'Orme",5.68112212567535,"Rarefaction",1,0.782800126773129,15.7140832519023,8.05273447524492,23.3754320285596
"33","L'Anse-à-l'Orme",5.68112212567535,"Rarefaction",2,0.782800126773129,13.5480662400793,9.59562767748009,17.5005048026785
