"","Assemblage","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","t_Over","Method_Over","SC_Over","qD_Over","qD.LCL_Over","qD.UCL_Over","t_Under","Method_Under","SC_Under","qD_Under","qD.LCL_Under","qD.UCL_Under"
"1","Bois-de-Saraguay",3.99995245692989,"Rarefaction",0,0.781591539897679,13.0634165983014,9.41494748899049,16.7118857076123,3.14670513597794,"Rarefaction",0.7158991309204,8.43128563231559,4.33842267318761,12.5241485914436,3.05798139745227,"Rarefaction",0.634299689957538,8.79083752267523,2.38391525277738,15.1977597925731
"2","Bois-de-Saraguay",3.99995245692989,"Rarefaction",1,0.781591539897679,11.6521860353469,8.81719370696715,14.4871783637267,3.14670513597794,"Rarefaction",0.7158991309204,7.66191362301867,4.40754119277181,10.9162860532655,3.05798139745227,"Rarefaction",0.634299689957538,8.08639120472764,3.50680804870198,12.6659743607533
"3","Bois-de-Saraguay",3.99995245692989,"Rarefaction",2,0.781591539897679,10.5188009076277,8.1833013637092,12.8543004515462,3.14670513597794,"Rarefaction",0.7158991309204,6.9806036702828,4.35092538803914,9.61028195252646,3.05798139745227,"Rarefaction",0.634299689957538,7.39669779791822,4.20656720240519,10.5868283934312
"4","Angrignon",5.43620378612277,"Rarefaction",0,0.782801181753826,21.2610370398581,16.969709121748,25.5523649579681,3.90133094982979,"Rarefaction",0.715900665069306,10.0506950360684,5.59727183780494,14.5041182343319,1.89710145769425,"Rarefaction",0.634300515903921,5.88391306115793,3.8887689123474,7.87905720996845
"5","Angrignon",5.43620378612277,"Rarefaction",1,0.782801181753826,17.6168621425846,14.4926302027291,20.7410940824402,3.90133094982979,"Rarefaction",0.715900665069306,8.95670777383681,5.61316240970697,12.3002531379667,1.89710145769425,"Rarefaction",0.634300515903921,5.57507181783465,3.90285178689355,7.24729184877575
"6","Angrignon",5.43620378612277,"Rarefaction",2,0.782801181753826,14.7787010745058,12.3215509542323,17.2358511947793,3.90133094982979,"Rarefaction",0.715900665069306,8.02418572912809,5.41807747876046,10.6302939794957,1.89710145769425,"Rarefaction",0.634300515903921,5.27722919400537,3.8663475278817,6.68811086012905
"7","Boisé-de-Saint-Sulpice",3.44112616008101,"Rarefaction",0,0.782799570085885,12.931642232193,10.8882890015338,14.9749954628523,6.92388177992929,"Rarefaction",0.71590036564345,12.0576357095277,0.265170464080141,23.8501009549752,5.13620445222794,"Rarefaction",0.63430041954757,12.1913348257488,3.73503938366497,20.6476302678326
"8","Boisé-de-Saint-Sulpice",3.44112616008101,"Rarefaction",1,0.782799570085885,11.5900872210925,10.0345704263392,13.1456040158458,6.92388177992929,"Rarefaction",0.71590036564345,9.20620846651291,4.11865523137357,14.2937617016523,5.13620445222794,"Rarefaction",0.63430041954757,10.569691422618,5.2279434097462,15.9114394354899
"9","Boisé-de-Saint-Sulpice",3.44112616008101,"Rarefaction",2,0.782799570085885,10.4942548681718,9.23380185250348,11.7547078838401,6.92388177992929,"Rarefaction",0.71590036564345,7.13677000871186,4.56565201412949,9.70788800329423,5.13620445222794,"Rarefaction",0.63430041954757,9.1213772606671,5.72145693963563,12.5212975816986
"10","Pointe-aux-Prairies",6.6423002582398,"Rarefaction",0,0.782800318148996,29.711400549272,22.1039355630174,37.3188655355265,6.1436420085395,"Rarefaction",0.715899178062428,18.3537600919032,14.2450426288898,22.4624775549166,4.20379366514295,"Rarefaction",0.634300555493616,16.4982673044247,10.2738313132179,22.7227032956315
"11","Pointe-aux-Prairies",6.6423002582398,"Rarefaction",1,0.782800318148996,24.2580448037369,19.704696256009,28.8113933514649,6.1436420085395,"Rarefaction",0.715899178062428,16.1837889181036,13.0545926630888,19.3129851731183,4.20379366514295,"Rarefaction",0.634300555493616,14.4293012049359,9.80049779354848,19.0581046163233
"12","Pointe-aux-Prairies",6.6423002582398,"Rarefaction",2,0.782800318148996,19.7125547426887,16.4913340135569,22.9337754718205,6.1436420085395,"Rarefaction",0.715899178062428,14.3239279014785,11.7732196243463,16.8746361786108,4.20379366514295,"Rarefaction",0.634300555493616,12.3506102767973,9.04979942615683,15.6514211274378
"13","Thomas-Chapais",3.86920663682917,"Rarefaction",0,0.782799768433621,11.4435922435155,3.58204340971203,19.305141077319,2.98981335563884,"Rarefaction",0.715898496108634,9.82559242397014,7.4732775929558,12.1779072549845,7.0009569170595,"Extrapolation",0.6343,12.0010714285714,0,31.3432267285167
